REGION,COMUNA,HABITANTES
I Tarapacá,Alto Hospicio,134085
I Tarapacá,Camiña,1384
I Tarapacá,Colchane,1588
I Tarapacá,Huara,3043
I Tarapacá,Iquique,227127
I Tarapacá,Pica,6085
I Tarapacá,Pozo Almonte,17853
II Antofagasta,Antofagasta,433712
II Antofagasta,Calama,193343
II Antofagasta,María Elena,6773
II Antofagasta,Mejillones,15168
II Antofagasta,Ollagüe,283
II Antofagasta,San Pedro de Atacama,10675
II Antofagasta,Sierra Gorda,1772
II Antofagasta,Taltal,13806
II Antofagasta,Tocopilla,28214
III Atacama,Alto del Carmen,5754
III Atacama,Caldera,19612
III Atacama,Chañaral,13149
III Atacama,Copiapó,173253
III Atacama,Diego de Almagro,14258
III Atacama,Freirina,7739
III Atacama,Huasco,11374
III Atacama,Tierra Amarilla,14374
III Atacama,Vallenar,57224
IV Coquimbo,Andacollo,11818
IV Coquimbo,Canela,9548
IV Coquimbo,Combarbalá,13893
IV Coquimbo,Coquimbo,261811
IV Coquimbo,Illapel,32899
IV Coquimbo,La Higuera,4478
IV Coquimbo,La Serena,254445
IV Coquimbo,Los Vilos,23668
IV Coquimbo,Monte Patria,32607
IV Coquimbo,Ovalle,122241
IV Coquimbo,Paiguano,4690
IV Coquimbo,Punitaqui,12271
IV Coquimbo,Río Hurtado,4361
IV Coquimbo,Salamanca,29359
IV Coquimbo,Vicuña,29990
V Valparaíso,Algarrobo,15436
V Valparaíso,Cabildo,20715
V Valparaíso,Calle Larga,16804
V Valparaíso,Cartagena,25815
V Valparaíso,Casablanca,29556
V Valparaíso,Catemu,15360
V Valparaíso,Concón,46527
V Valparaíso,El Quisco,18056
V Valparaíso,El Tabo,14587
V Valparaíso,Hijuela,19218
V Valparaíso,Isla de Pascua,8445
V Valparaíso,Juan Fernández,1053
V Valparaíso,La Calera,53736
V Valparaíso,La Cruz,26008
V Valparaíso,La Ligua,37957
V Valparaíso,Limache,50439
V Valparaíso,Llaillay,26760
V Valparaíso,Los Andes,68401
V Valparaíso,Nogales,23559
V Valparaíso,Olmué,19535
V Valparaíso,Panquehue,7694
V Valparaíso,Papudo,6270
V Valparaíso,Petorca,10590
V Valparaíso,Puchuncaví,20391
V Valparaíso,Putaendo,17768
V Valparaíso,Quillota,98561
V Valparaíso,Quilpué,168931
V Valparaíso,Quintero,36821
V Valparaíso,Rinconada,11471
V Valparaíso,San Antonio,97323
V Valparaíso,San Esteban,20952
V Valparaíso,San Felipe,84445
V Valparaíso,Santa María,16539
V Valparaíso,Santo Domingo,12126
V Valparaíso,Valparaíso,317424
V Valparaíso,Villa Alemana,141528
V Valparaíso,Viña del Mar,364472
V Valparaíso,Zapallar,8100
VI O'Higgins,Chépica,16003
VI O'Higgins,Chimbarongo,37935
VI O'Higgins,Codegua,14247
VI O'Higgins,Coinco,7891
VI O'Higgins,Coltauco,21507
VI O'Higgins,Doñihue,22964
